sample_idx,recv_time_sec,msg_stamp_sec,ros_receive_latency_ms,sequence,frame,num_tracks,fps,publish_latency_ms,source_csv
0,1782254094.004399,1782254094.0035014,0.8976459503173828,0001,0,9,10.0,0.28614299662876874,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
1,1782254094.1037917,1782254094.103357,0.43463706970214844,0001,1,7,10.0,0.1104199982364662,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
2,1782254094.2040381,1782254094.2034338,0.6043910980224609,0001,2,6,10.0,0.15553900448139757,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
3,1782254094.3037822,1782254094.3033571,0.42510032653808594,0001,3,5,10.0,0.09023599704960361,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
4,1782254094.4039645,1782254094.4034123,0.5521774291992188,0001,4,5,10.0,0.13535400648834184,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
5,1782254094.503811,1782254094.5033703,0.4405975341796875,0001,5,4,10.0,0.0949850000324659,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
6,1782254094.6040108,1782254094.6034029,0.6079673767089844,0001,6,5,10.0,0.13179200323065743,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
7,1782254094.7038608,1782254094.703368,0.4928112030029297,0001,7,5,10.0,0.11042000551242381,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
8,1782254094.8039622,1782254094.8034422,0.5199909210205078,0001,8,4,10.0,0.11635699775069952,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
9,1782254094.9038122,1782254094.9033692,0.4429817199707031,0001,9,5,10.0,0.10567100252956152,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
10,1782254095.0038626,1782254095.0034065,0.45609474182128906,0001,10,5,10.0,0.11516999802552164,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
11,1782254095.1038477,1782254095.1034107,0.43702125549316406,0001,11,4,10.0,0.11398300557630137,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
12,1782254095.2039719,1782254095.203416,0.5557537078857422,0001,12,5,10.0,0.1329790029558353,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
13,1782254095.3039522,1782254095.3034263,0.5259513854980469,0001,13,5,10.0,0.12466799671528861,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
14,1782254095.403911,1782254095.403377,0.5340576171875,0001,14,6,10.0,0.12348099699011073,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
15,1782254095.5039783,1782254095.5034168,0.5614757537841797,0001,15,5,10.0,0.127042003441602,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
16,1782254095.6038043,1782254095.6033735,0.43082237243652344,0001,16,4,10.0,0.09617299656383693,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
17,1782254095.70383,1782254095.703418,0.4119873046875,0001,17,3,10.0,0.0949850000324659,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
18,1782254095.803852,1782254095.8033748,0.4773139953613281,0001,18,4,10.0,0.09379800030728802,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
19,1782254095.9039786,1782254095.9034429,0.5357265472412109,0001,19,5,10.0,0.1365409989375621,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
20,1782254096.0038757,1782254096.0033653,0.5104541778564453,0001,20,7,10.0,0.13179199595469981,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
21,1782254096.1038952,1782254096.1033647,0.5304813385009766,0001,21,7,10.0,0.13179200323065743,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
22,1782254096.203857,1782254096.2033806,0.4763603210449219,0001,22,6,10.0,0.12822999997297302,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
23,1782254096.3039546,1782254096.3034217,0.5328655242919922,0001,23,6,10.0,0.14722799824085087,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
24,1782254096.4038475,1782254096.4033735,0.47397613525390625,0001,24,6,10.0,0.12110600073356181,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
25,1782254096.5039227,1782254096.503437,0.4856586456298828,0001,25,5,10.0,0.12941800378030166,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
26,1782254096.6038485,1782254096.6033902,0.4582405090332031,0001,26,5,10.0,0.11754500155802816,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
27,1782254096.7038705,1782254096.7033813,0.48923492431640625,0001,27,5,10.0,0.10804599878611043,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
28,1782254096.8039923,1782254096.8034258,0.5664825439453125,0001,28,5,10.0,0.13535399921238422,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
29,1782254096.9039037,1782254096.9034076,0.49614906311035156,0001,29,4,10.0,0.11042100231861696,results/tracks/yolov8n_bytetrack_seq0001_tracks.csv
