frame,gt_count,pred_count,tp,fp,fn,id_switches,mean_risk_score,max_risk_score,medium_or_high_risk_detections
0,7,9,6,3,1,0,0.35023996994727935,0.4572831127280936,1
1,7,7,6,1,1,0,0.35285895691265073,0.4584146399055969,1
2,7,6,6,0,1,0,0.33239553947365436,0.41270762448048,0
3,7,5,5,0,2,0,0.3224836556030154,0.388270612166232,0
4,7,5,5,0,2,0,0.34462132144282165,0.5175442844376545,1
5,7,4,4,0,3,1,0.29478126895307194,0.3615433175312258,0
6,6,5,5,0,1,1,0.3441998430464163,0.489876005827931,1
7,8,5,5,0,3,0,0.3429519101932274,0.4506439183964167,1
8,8,4,4,0,4,0,0.3431504816934438,0.4071501536797552,0
9,9,5,5,0,4,0,0.3581032266111385,0.4285542297943852,0
10,9,5,5,0,4,0,0.39329026794624183,0.6063093426187823,1
11,10,4,4,0,6,0,0.3502261407051873,0.3717377996529334,0
12,9,5,4,1,5,0,0.38974550957004644,0.5421744123123858,1
13,9,5,4,1,5,0,0.3833669174910841,0.5018361579909265,1
14,10,6,5,1,5,0,0.4075366038822457,0.4881336040004008,1
15,10,5,5,0,5,1,0.37181174973434217,0.4399562897299824,0
16,9,4,4,0,5,0,0.35977621953996836,0.3995294203903301,0
17,9,3,3,0,6,0,0.3357948195514975,0.3537938570624579,0
18,7,4,4,0,3,0,0.33046581734239117,0.3559693045624981,0
19,8,5,5,0,3,0,0.3485315849865859,0.4233862872720343,0
20,8,7,6,1,2,0,0.35883368071697513,0.5133473214983827,1
21,8,7,6,1,2,0,0.3609781426096838,0.5654066685631574,1
22,7,6,5,1,2,0,0.3764399018716916,0.5732088206604623,1
23,7,6,5,1,2,0,0.36501019563123505,0.5312835291040036,1
24,7,6,4,2,3,0,0.3875135963004241,0.6398959954394173,1
25,6,5,4,1,2,0,0.3374607566858511,0.4064760514164218,0
26,6,5,4,1,2,0,0.35836830791310736,0.517153864374271,1
27,6,5,4,1,2,0,0.3482904998615325,0.5021183543899435,1
28,5,4,4,0,1,0,0.3052858946709678,0.3187797015649063,0
29,5,4,4,0,1,0,0.32892427077133785,0.362649057286852,0
30,6,6,4,2,2,0,0.3449019575090997,0.3906103734888893,0
31,6,5,4,1,2,0,0.32263295322511115,0.3747383120750653,0
32,6,4,4,0,2,0,0.30892268579234683,0.3308577814026633,0
33,6,4,4,0,2,0,0.31970549991128266,0.3410805406095927,0
34,8,5,4,1,4,0,0.3272910064335416,0.4034388320138184,0
35,9,6,5,1,4,0,0.35690989239977533,0.4233177391286922,0
36,9,7,6,1,3,0,0.3512291736157418,0.4112961502058826,0
37,9,8,7,1,2,0,0.3521412345054613,0.3944497846065281,0
38,9,7,6,1,3,0,0.3492141998348655,0.4037555470730534,0
39,8,8,6,2,2,0,0.3551172764548071,0.4636190395405739,1
40,8,7,6,1,2,1,0.3847920931747932,0.4861632860295511,1
41,8,7,6,1,2,0,0.3750879264289707,0.4399971969949309,0
42,8,7,6,1,2,0,0.3647677892687207,0.4041532552402632,0
43,8,9,6,3,2,0,0.38251330489853896,0.5041620840211027,2
44,7,9,6,3,1,1,0.3653500265171438,0.497917932264612,1
45,8,6,5,1,3,0,0.3231906783804153,0.3427351061881843,0
46,7,6,6,0,1,1,0.3394434013942694,0.3748606296620994,0
47,7,7,5,2,2,0,0.3831677072993472,0.485179755924466,2
48,7,6,6,0,1,0,0.3538342656734803,0.3751139944249287,0
49,7,5,5,0,2,0,0.3466511435312448,0.3884909903761395,0
50,7,6,6,0,1,1,0.3512004776877602,0.4270479492058652,0
51,6,5,5,0,1,0,0.32491189638816437,0.3742360307483876,0
52,6,5,5,0,1,0,0.3403683394962099,0.3808207742916234,0
53,6,5,4,1,2,0,0.3521382890570556,0.4264022099431958,0
54,6,5,4,1,2,0,0.36018111140042103,0.4321908291809224,0
55,7,4,4,0,3,0,0.3606588492010833,0.4223215450565925,0
56,6,5,5,0,1,1,0.32327754845673484,0.3647796579734135,0
57,6,5,5,0,1,0,0.33068430882262845,0.3743257082129259,0
58,6,5,5,0,1,0,0.32353110093639104,0.3580979064670211,0
59,6,6,5,1,1,0,0.32637059008927244,0.3701176729517432,0
60,6,6,5,1,1,0,0.3433537844771189,0.3771540361712837,0
61,6,6,5,1,1,0,0.33995868701637955,0.3714337110829286,0
62,6,6,5,1,1,0,0.3603272918761322,0.4667905687440253,1
63,6,7,5,2,1,0,0.3749271061648399,0.5245737286484696,1
64,7,6,5,1,2,0,0.35645791386294845,0.4554471193246685,1
65,10,6,6,0,4,0,0.3520705807869493,0.4110391819460429,0
66,9,7,7,0,2,1,0.3494063532659074,0.3950520760049286,0
67,9,8,7,1,2,1,0.37405139943319043,0.5089857119537142,1
68,10,7,6,1,4,0,0.3731119797740707,0.5287446994812629,1
69,10,7,6,1,4,0,0.35681489228925983,0.5300115707297494,1
70,10,9,7,2,3,0,0.35577023512287187,0.4625025567577904,2
71,10,8,7,1,3,0,0.3518868740023133,0.4699292344546917,1
72,9,7,6,1,3,0,0.3437139601185004,0.458755293248233,1
73,8,8,6,2,2,0,0.354558844425256,0.4332930642217883,0
74,7,8,6,2,1,0,0.3597952590890369,0.457257944398444,1
75,7,8,7,1,0,0,0.3545791588351114,0.4756558056259831,1
76,8,7,6,1,2,0,0.35842532261780635,0.4197081619194172,0
77,8,7,6,1,2,0,0.3688447717312814,0.432173369411416,0
78,7,6,5,1,2,0,0.3543702890794995,0.4207137319087407,0
79,7,5,4,1,3,0,0.33202645553285237,0.3527912738912749,0
80,8,5,4,1,4,0,0.3633260776832844,0.4428407914827373,0
81,10,7,5,2,5,0,0.3543416356329446,0.3874414480895932,0
82,10,6,5,1,5,0,0.3585857699119545,0.3952287099523724,0
83,10,8,4,4,6,0,0.3886433876593033,0.5303945189007344,2
84,10,8,5,3,5,0,0.3662563654882376,0.4286631591701015,0
85,13,6,5,1,8,0,0.3680792132978678,0.4639155924205874,1
86,14,7,6,1,8,0,0.3551545212759551,0.412942177365337,0
87,14,6,4,2,10,1,0.35036319393935483,0.4321800008307175,0
88,13,4,4,0,9,0,0.3312444944624689,0.362301289312749,0
89,12,5,4,1,8,0,0.3499910238460696,0.3845704237200016,0
90,13,7,6,1,7,1,0.3375102045249078,0.4895042349603449,1
91,13,6,5,1,8,0,0.3168279508288455,0.3537399425351155,0
92,13,6,6,0,7,0,0.30958563143138335,0.3395619665159903,0
93,12,6,5,1,7,0,0.33012737003392717,0.3726936813994766,0
94,12,7,7,0,5,0,0.35104236105410064,0.5094036889158173,1
95,13,7,7,0,6,0,0.3590955456450171,0.5250560446470252,1
96,13,8,8,0,5,0,0.3517102062402291,0.4748065495652557,1
97,12,8,8,0,4,0,0.36510113593317833,0.4807607934676823,1
98,12,7,7,0,5,0,0.3334436001452364,0.3969079993370459,0
99,10,7,7,0,3,0,0.3437050274760252,0.4945504125675198,1
100,10,10,8,2,2,0,0.33882980604057694,0.4443762650983156,0
